"source","STUDY_ID","newsite","REALM","TAXA","ORGANISMS","nyr_used","startyr","endyr","LONGITUDE","LATITUDE","citation_1","citation_2","citation_3","citation_4","citation_5","citation_6"
"BioTIME","430","STUDY_ID_430_basin_101416","Freshwater","fish","fish",28,1985,2016,169.4829,-44.69688,"NIWA “The New Zealand Freshwater Fish Database”. Available at: https://www.niwa.co.nz/our-services/online-services/freshwater-fish-database, accessed 2016.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","",""
"BioTIME","39","39","Terrestrial","birds","birds",36,1979,2015,-71.75,43.91,"Holmes, R. T. & Sherry, T. W. (2001) Thirty-year bird population trends in an unfragmented temperate deciduous forest: the importance of habitat change. The Auk, 118, 589–610.","Holmes, R. T. & Sturges, F. W. (1975) Bird community dynamics and energetics in a northern hardwoods ecosystem. Journal of Animal Ecology, 44, 175–200.","Holmes, R. T. & Sherry, T. W. (1988) Assessing population trends of New Hampshire forest birds: Local versus regional patterns. The Auk, 105, 756–768.","Holmes, R. T., Sherry, T. W. & Sturges, F. W. (1986) Bird Community Dynamics in a Temperate Deciduous Forest: Long-Term Trends at Hubbard Brook. Ecological Monographs, 56, 201–220. ","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943"
"BioTIME","67","STUDY_ID_67_LAT-33.88_LON18.5","Terrestrial","birds","waterbirds",21,1985,2006,18.5,-33.88,"CWAC, “Coordinated Waterbird Counts (CWAC)–AfrOBIS.” Available at: http://www.iobis.org/mapper/?dataset=603, accessed 2012.","Blowes, S.A., Supp, S.R., Antão, L.H., Bates, A., Bruelheide, H., Chase, J.M., et al. (2019). The geography of biodiversity change in marine and terrestrial assemblages. Science, 366, 339–345.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","",""
"BioTIME","67","STUDY_ID_67_LAT-34.08_LON18.52","Terrestrial","birds","waterbirds",24,1983,2006,18.52,-34.08,"CWAC, “Coordinated Waterbird Counts (CWAC)–AfrOBIS.” Available at: http://www.iobis.org/mapper/?dataset=603, accessed 2012.","Blowes, S.A., Supp, S.R., Antão, L.H., Bates, A., Bruelheide, H., Chase, J.M., et al. (2019). The geography of biodiversity change in marine and terrestrial assemblages. Science, 366, 339–345.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","",""
"BioTIME","333","333","Terrestrial","birds","birds",29,1981,2009,-96.58333,39.08333,"Sandercock, B. K. “Variable distance line-transect sampling of bird population numbers in different habitats on Konza Prairie (1981 - 2009)”. Konza Prairie Long Term Ecological Research Program. Available at: http://www.konza.ksu.edu/knz/pages/data/KnzEntity.aspx?id=CBP011, accessed 2016.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","",""
"BioTIME","339","339","Terrestrial","birds","birds",31,1979,2009,13.33333,55.71667,"Svensson, S., Thorner, A. M. & Nyholm, N. E. I. (2010) Species trends, turnover and composition of a woodland bird community in southern Sweden during a period of 57 years. Ornis Svecica 20, 31–44.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","",""
"BioTIME","363","363","Terrestrial","birds","birds",21,1979,1999,16.31666,65.96806,"Enemar, A., Sjöstrand, B. E., Andersson, G. Ö. & von Proschwitz, T. (2004) The 37-year dynamics of a subalpine passerine bird community, with special emphasis on the influence of environmental temperature and Epirrita autumnata cycles. Ornis Svecica, 14, 63–106.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","",""
"BioTIME","420","420","Terrestrial","birds","birds",23,1979,2001,16.342,65.84,"Svensson, S. (2006) Species composition and population fluctuations of alpine bird communities during 38 years in the Scandinavian mountain range. Ornis Svecica, 16(4), 183–210.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","",""
"BioTIME","215","STUDY_ID_215_LAT38.916667_LON-74.958","Terrestrial","birds","raptor birds",30,1979,2008,-74.958,38.916667,"HMANA, “Hawk Migration Association of North America (HMANA).” Available at: http://www.hmana.org/, accessed 2012.","Blowes, S.A., Supp, S.R., Antão, L.H., Bates, A., Bruelheide, H., Chase, J.M., et al. (2019). The geography of biodiversity change in marine and terrestrial assemblages. Science, 366, 339–345.","","","",""
"BioTIME","215","STUDY_ID_215_LAT39.166667_LON-76.483333","Terrestrial","birds","raptor birds",21,1987,2008,-76.483333,39.166667,"HMANA, “Hawk Migration Association of North America (HMANA).” Available at: http://www.hmana.org/, accessed 2012.","Blowes, S.A., Supp, S.R., Antão, L.H., Bates, A., Bruelheide, H., Chase, J.M., et al. (2019). The geography of biodiversity change in marine and terrestrial assemblages. Science, 366, 339–345.","","","",""
"BioTIME","215","STUDY_ID_215_LAT40.266667_LON-77.276028","Terrestrial","birds","raptor birds",29,1979,2008,-77.276028,40.266667,"HMANA, “Hawk Migration Association of North America (HMANA).” Available at: http://www.hmana.org/, accessed 2012.","Blowes, S.A., Supp, S.R., Antão, L.H., Bates, A., Bruelheide, H., Chase, J.M., et al. (2019). The geography of biodiversity change in marine and terrestrial assemblages. Science, 366, 339–345.","","","",""
"BioTIME","215","STUDY_ID_215_LAT40.633333_LON-75.991528","Terrestrial","birds","raptor birds",30,1979,2008,-75.991528,40.633333,"HMANA, “Hawk Migration Association of North America (HMANA).” Available at: http://www.hmana.org/, accessed 2012.","Blowes, S.A., Supp, S.R., Antão, L.H., Bates, A., Bruelheide, H., Chase, J.M., et al. (2019). The geography of biodiversity change in marine and terrestrial assemblages. Science, 366, 339–345.","","","",""
"BioTIME","215","STUDY_ID_215_LAT40.833333_LON-74.212944","Terrestrial","birds","raptor birds",30,1979,2008,-74.212944,40.833333,"HMANA, “Hawk Migration Association of North America (HMANA).” Available at: http://www.hmana.org/, accessed 2012.","Blowes, S.A., Supp, S.R., Antão, L.H., Bates, A., Bruelheide, H., Chase, J.M., et al. (2019). The geography of biodiversity change in marine and terrestrial assemblages. Science, 366, 339–345.","","","",""
"BioTIME","215","STUDY_ID_215_LAT41.083333_LON-73.688667","Terrestrial","birds","raptor birds",29,1979,2008,-73.688667,41.083333,"HMANA, “Hawk Migration Association of North America (HMANA).” Available at: http://www.hmana.org/, accessed 2012.","Blowes, S.A., Supp, S.R., Antão, L.H., Bates, A., Bruelheide, H., Chase, J.M., et al. (2019). The geography of biodiversity change in marine and terrestrial assemblages. Science, 366, 339–345.","","","",""
"BioTIME","215","STUDY_ID_215_LAT41.233333_LON-72.901417","Terrestrial","birds","raptor birds",30,1979,2008,-72.901417,41.233333,"HMANA, “Hawk Migration Association of North America (HMANA).” Available at: http://www.hmana.org/, accessed 2012.","Blowes, S.A., Supp, S.R., Antão, L.H., Bates, A., Bruelheide, H., Chase, J.M., et al. (2019). The geography of biodiversity change in marine and terrestrial assemblages. Science, 366, 339–345.","","","",""
"BioTIME","215","STUDY_ID_215_LAT41.266667_LON-72.902778","Terrestrial","birds","raptor birds",23,1980,2007,-72.902778,41.266667,"HMANA, “Hawk Migration Association of North America (HMANA).” Available at: http://www.hmana.org/, accessed 2012.","Blowes, S.A., Supp, S.R., Antão, L.H., Bates, A., Bruelheide, H., Chase, J.M., et al. (2019). The geography of biodiversity change in marine and terrestrial assemblages. Science, 366, 339–345.","","","",""
"BioTIME","215","STUDY_ID_215_LAT41.733333_LON-73.170694","Terrestrial","birds","raptor birds",22,1986,2008,-73.170694,41.733333,"HMANA, “Hawk Migration Association of North America (HMANA).” Available at: http://www.hmana.org/, accessed 2012.","Blowes, S.A., Supp, S.R., Antão, L.H., Bates, A., Bruelheide, H., Chase, J.M., et al. (2019). The geography of biodiversity change in marine and terrestrial assemblages. Science, 366, 339–345.","","","",""
"BioTIME","215","STUDY_ID_215_LAT42.016667_LON-72.966944","Terrestrial","birds","raptor birds",23,1979,2008,-72.966944,42.016667,"HMANA, “Hawk Migration Association of North America (HMANA).” Available at: http://www.hmana.org/, accessed 2012.","Blowes, S.A., Supp, S.R., Antão, L.H., Bates, A., Bruelheide, H., Chase, J.M., et al. (2019). The geography of biodiversity change in marine and terrestrial assemblages. Science, 366, 339–345.","","","",""
"BioTIME","215","STUDY_ID_215_LAT42.016667_LON-83.0455","Terrestrial","birds","raptor birds",29,1979,2008,-83.0455,42.016667,"HMANA, “Hawk Migration Association of North America (HMANA).” Available at: http://www.hmana.org/, accessed 2012.","Blowes, S.A., Supp, S.R., Antão, L.H., Bates, A., Bruelheide, H., Chase, J.M., et al. (2019). The geography of biodiversity change in marine and terrestrial assemblages. Science, 366, 339–345.","","","",""
"BioTIME","215","STUDY_ID_215_LAT46.833333_LON-92.031944","Terrestrial","birds","raptor birds",30,1979,2008,-92.031944,46.833333,"HMANA, “Hawk Migration Association of North America (HMANA).” Available at: http://www.hmana.org/, accessed 2012.","Blowes, S.A., Supp, S.R., Antão, L.H., Bates, A., Bruelheide, H., Chase, J.M., et al. (2019). The geography of biodiversity change in marine and terrestrial assemblages. Science, 366, 339–345.","","","",""
"BioTIMEx","oneida_fish_gillnets","Buoy 113","Freshwater","fish","fish",41,1979,2019,-75.81472,43.18611,"Lars G Rudstam, & James R Jackson. (2008). Gill net survey of fishes of Oneida Lake, New York, 1957 to present. Knowledge Network for Biocomplexity. kgordon.14.129.","","","","",""
"BioTIMEx","oneida_fish_gillnets","Buoy 125","Freshwater","fish","fish",41,1979,2019,-75.93889,43.20444,"Lars G Rudstam, & James R Jackson. (2008). Gill net survey of fishes of Oneida Lake, New York, 1957 to present. Knowledge Network for Biocomplexity. kgordon.14.129.","","","","",""
"BioTIMEx","oneida_fish_gillnets","Buoy 129","Freshwater","fish","fish",41,1979,2019,-75.97167,43.20611,"Lars G Rudstam, & James R Jackson. (2008). Gill net survey of fishes of Oneida Lake, New York, 1957 to present. Knowledge Network for Biocomplexity. kgordon.14.129.","","","","",""
"BioTIMEx","oneida_fish_gillnets","Buoy 133","Freshwater","fish","fish",41,1979,2019,-76.05556,43.22333,"Lars G Rudstam, & James R Jackson. (2008). Gill net survey of fishes of Oneida Lake, New York, 1957 to present. Knowledge Network for Biocomplexity. kgordon.14.129.","","","","",""
"BioTIMEx","oneida_fish_gillnets","Bushnell Point","Freshwater","fish","fish",41,1979,2019,-75.84472,43.16194,"Lars G Rudstam, & James R Jackson. (2008). Gill net survey of fishes of Oneida Lake, New York, 1957 to present. Knowledge Network for Biocomplexity. kgordon.14.129.","","","","",""
"BioTIMEx","oneida_fish_gillnets","Cleveland","Freshwater","fish","fish",41,1979,2019,-75.89139,43.22861,"Lars G Rudstam, & James R Jackson. (2008). Gill net survey of fishes of Oneida Lake, New York, 1957 to present. Knowledge Network for Biocomplexity. kgordon.14.129.","","","","",""
"BioTIMEx","oneida_fish_gillnets","Dakin Shoal","Freshwater","fish","fish",41,1979,2019,-75.96917,43.22139,"Lars G Rudstam, & James R Jackson. (2008). Gill net survey of fishes of Oneida Lake, New York, 1957 to present. Knowledge Network for Biocomplexity. kgordon.14.129.","","","","",""
"BioTIMEx","oneida_fish_gillnets","Damon Point","Freshwater","fish","fish",41,1979,2019,-75.95778,43.18694,"Lars G Rudstam, & James R Jackson. (2008). Gill net survey of fishes of Oneida Lake, New York, 1957 to present. Knowledge Network for Biocomplexity. kgordon.14.129.","","","","",""
"BioTIMEx","oneida_fish_gillnets","Dunham Island","Freshwater","fish","fish",41,1979,2019,-76.02528,43.20806,"Lars G Rudstam, & James R Jackson. (2008). Gill net survey of fishes of Oneida Lake, New York, 1957 to present. Knowledge Network for Biocomplexity. kgordon.14.129.","","","","",""
"BioTIMEx","oneida_fish_gillnets","Dutchman Island","Freshwater","fish","fish",41,1979,2019,-75.91056,43.17028,"Lars G Rudstam, & James R Jackson. (2008). Gill net survey of fishes of Oneida Lake, New York, 1957 to present. Knowledge Network for Biocomplexity. kgordon.14.129.","","","","",""
"BioTIMEx","oneida_fish_gillnets","Jewell","Freshwater","fish","fish",38,1979,2016,-75.81,43.21611,"Lars G Rudstam, & James R Jackson. (2008). Gill net survey of fishes of Oneida Lake, New York, 1957 to present. Knowledge Network for Biocomplexity. kgordon.14.129.","","","","",""
"BioTIMEx","oneida_fish_gillnets","Lewis Point","Freshwater","fish","fish",41,1979,2019,-75.78361,43.17444,"Lars G Rudstam, & James R Jackson. (2008). Gill net survey of fishes of Oneida Lake, New York, 1957 to present. Knowledge Network for Biocomplexity. kgordon.14.129.","","","","",""
"BioTIMEx","oneida_fish_gillnets","Phillips Point","Freshwater","fish","fish",41,1979,2019,-76.04833,43.23167,"Lars G Rudstam, & James R Jackson. (2008). Gill net survey of fishes of Oneida Lake, New York, 1957 to present. Knowledge Network for Biocomplexity. kgordon.14.129.","","","","",""
"BioTIMEx","oneida_fish_gillnets","Shackelton Point","Freshwater","fish","fish",41,1979,2019,-75.92889,43.17972,"Lars G Rudstam, & James R Jackson. (2008). Gill net survey of fishes of Oneida Lake, New York, 1957 to present. Knowledge Network for Biocomplexity. kgordon.14.129.","","","","",""
"BioTIMEx","oneida_fish_gillnets","Willard Island","Freshwater","fish","fish",41,1979,2019,-75.93694,43.23361,"Lars G Rudstam, & James R Jackson. (2008). Gill net survey of fishes of Oneida Lake, New York, 1957 to present. Knowledge Network for Biocomplexity. kgordon.14.129.","","","","",""
"BioTIMEx","oneida_fish_trawl","billington bay_standard","Freshwater","fish","fish",41,1979,2019,-75.94,43.17889,"Lars G Rudstam, & James R Jackson. (2008). Bottom trawl surveys from Oneida Lake, NY, 1958 to present. Knowledge Network for Biocomplexity. kgordon.19.98.","","","","",""
"BioTIMEx","oneida_fish_trawl","buoy 117_standard","Freshwater","fish","fish",41,1979,2019,-75.86361,43.19611,"Lars G Rudstam, & James R Jackson. (2008). Bottom trawl surveys from Oneida Lake, NY, 1958 to present. Knowledge Network for Biocomplexity. kgordon.19.98.","","","","",""
"BioTIMEx","oneida_fish_trawl","buoy 125 north_standard","Freshwater","fish","fish",41,1979,2019,-75.92694,43.2175,"Lars G Rudstam, & James R Jackson. (2008). Bottom trawl surveys from Oneida Lake, NY, 1958 to present. Knowledge Network for Biocomplexity. kgordon.19.98.","","","","",""
"BioTIMEx","oneida_fish_trawl","buoy 125_standard","Freshwater","fish","fish",41,1979,2019,-75.9225,43.21056,"Lars G Rudstam, & James R Jackson. (2008). Bottom trawl surveys from Oneida Lake, NY, 1958 to present. Knowledge Network for Biocomplexity. kgordon.19.98.","","","","",""
"BioTIMEx","oneida_fish_trawl","buoy 133_standard","Freshwater","fish","fish",41,1979,2019,-76.05528,43.21861,"Lars G Rudstam, & James R Jackson. (2008). Bottom trawl surveys from Oneida Lake, NY, 1958 to present. Knowledge Network for Biocomplexity. kgordon.19.98.","","","","",""
"BioTIMEx","oneida_fish_trawl","bushnell point_standard","Freshwater","fish","fish",41,1979,2019,-75.83417,43.165,"Lars G Rudstam, & James R Jackson. (2008). Bottom trawl surveys from Oneida Lake, NY, 1958 to present. Knowledge Network for Biocomplexity. kgordon.19.98.","","","","",""
"BioTIMEx","oneida_fish_trawl","delmarter bay_standard","Freshwater","fish","fish",41,1979,2019,-75.89972,43.16111,"Lars G Rudstam, & James R Jackson. (2008). Bottom trawl surveys from Oneida Lake, NY, 1958 to present. Knowledge Network for Biocomplexity. kgordon.19.98.","","","","",""
"BioTIMEx","oneida_fish_trawl","shackelton point deep_standard","Freshwater","fish","fish",41,1979,2019,-75.92694,43.18111,"Lars G Rudstam, & James R Jackson. (2008). Bottom trawl surveys from Oneida Lake, NY, 1958 to present. Knowledge Network for Biocomplexity. kgordon.19.98.","","","","",""
"BioTIMEx","oneida_fish_trawl","shackelton point shallow_standard","Freshwater","fish","fish",41,1979,2019,-75.92361,43.17667,"Lars G Rudstam, & James R Jackson. (2008). Bottom trawl surveys from Oneida Lake, NY, 1958 to present. Knowledge Network for Biocomplexity. kgordon.19.98.","","","","",""
"BioTIMEx","oneida_fish_trawl","three mile bay_standard","Freshwater","fish","fish",41,1979,2019,-76.03694,43.22278,"Lars G Rudstam, & James R Jackson. (2008). Bottom trawl surveys from Oneida Lake, NY, 1958 to present. Knowledge Network for Biocomplexity. kgordon.19.98.","","","","",""
"BBS","Northern Pacific Rainforests","124_11_126","Terrestrial","birds","Birds",22,1997,2019,-125.24111,50.02638,"Pardieck, K.L., Ziolkowski, D.J., Jr, Lutmerding, M., Aponte, V.I. & Hudson, M.A.R. (2020). North American breeding bird survey dataset 1966--2019: US Geological Survey data release.","","","","",""
"BBS","Central Rockies","124_11_208","Terrestrial","birds","Birds",23,1997,2019,-119.72963,49.59762,"Pardieck, K.L., Ziolkowski, D.J., Jr, Lutmerding, M., Aponte, V.I. & Hudson, M.A.R. (2020). North American breeding bird survey dataset 1966--2019: US Geological Survey data release.","","","","",""
"BBS","Fraser Plateau","124_11_222","Terrestrial","birds","Birds",22,1997,2018,-121.82873,50.88093,"Pardieck, K.L., Ziolkowski, D.J., Jr, Lutmerding, M., Aponte, V.I. & Hudson, M.A.R. (2020). North American breeding bird survey dataset 1966--2019: US Geological Survey data release.","","","","",""
"BBS","Fraser Plateau","124_11_244","Terrestrial","birds","Birds",23,1997,2019,-121.38518,52.47331,"Pardieck, K.L., Ziolkowski, D.J., Jr, Lutmerding, M., Aponte, V.I. & Hudson, M.A.R. (2020). North American breeding bird survey dataset 1966--2019: US Geological Survey data release.","","","","",""
"BBS","Fraser Plateau","124_11_255","Terrestrial","birds","Birds",23,1997,2019,-122.8157,53.9421,"Pardieck, K.L., Ziolkowski, D.J., Jr, Lutmerding, M., Aponte, V.I. & Hudson, M.A.R. (2020). North American breeding bird survey dataset 1966--2019: US Geological Survey data release.","","","","",""
"BBS","Northern Rockies","124_11_270","Terrestrial","birds","Birds",21,1997,2019,-127.31883,55.00224,"Pardieck, K.L., Ziolkowski, D.J., Jr, Lutmerding, M., Aponte, V.I. & Hudson, M.A.R. (2020). North American breeding bird survey dataset 1966--2019: US Geological Survey data release.","","","","",""
"BBS","Central Rockies","124_11_3","Terrestrial","birds","Birds",22,1997,2019,-114.73244,49.29379,"Pardieck, K.L., Ziolkowski, D.J., Jr, Lutmerding, M., Aponte, V.I. & Hudson, M.A.R. (2020). North American breeding bird survey dataset 1966--2019: US Geological Survey data release.","","","","",""
"BBS","Northern Pacific Rainforests","124_11_402","Terrestrial","birds","Birds",20,1998,2019,-124.05783,48.82305,"Pardieck, K.L., Ziolkowski, D.J., Jr, Lutmerding, M., Aponte, V.I. & Hudson, M.A.R. (2020). North American breeding bird survey dataset 1966--2019: US Geological Survey data release.","","","","",""
"BBS","Central Rockies","124_11_407","Terrestrial","birds","Birds",22,1997,2019,-118.77692,49.70977,"Pardieck, K.L., Ziolkowski, D.J., Jr, Lutmerding, M., Aponte, V.I. & Hudson, M.A.R. (2020). North American breeding bird survey dataset 1966--2019: US Geological Survey data release.","","","","",""
"BBS","Central Rockies","124_11_420","Terrestrial","birds","Birds",20,1997,2017,-119.08629,50.81583,"Pardieck, K.L., Ziolkowski, D.J., Jr, Lutmerding, M., Aponte, V.I. & Hudson, M.A.R. (2020). North American breeding bird survey dataset 1966--2019: US Geological Survey data release.","","","","",""
