"SpecCode","Species","Author","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Comments","name_in_mydb"
35,"Anguilla anguilla","(Linnaeus, 1758)",121.5,"TL",133,"TL",88166,35,"TL",50,"TL",6125,6599,2850,39903,"Inhabits all types of benthic habitats from streams to shores of large rivers and lakes. Naturally found only in water bodies connected to the sea (Ref. 59043). Territorial and solitary species; 'schools' of young eels which are observed from time to time are a mass response to outward conditions and not of active assembling (Ref. 172). Amphihaline (Ref. 51442). Migrates to the depths of the Sargasso Sea to spawn (Ref. 172, 51442). Eel larvae (leptocephali) are transparent ribbon-like. They are brought to the coasts of Europe by the Gulf Stream in 7 to 11 months time (Ref. 51442) and can last for up to 3 years (Ref. 8994). They are transformed into glass eels (6-8 cm length, cylindrical in shape and transparent to slightly pigmented in colour). They enter the estuaries and colonize rivers and lakes (Ref. 11941, 51442); some individuals remain in estuaries and coastal waters to grow into adults (Ref. 88171). The glass eel stage is followed by a long feeding period (from the yellow to the silver eel stage) lasting 6-12 years in males (Ref. 6125) and 9-20 years in females (Ref. 6125). Yellow and silver eels are benthic, found under stones, buried in the mud or in crevices (Ref. 89138). Yellow eels eventually lose their pigmentation, becoming dark dorsally and silver ventrally (called silver eels). Silver eels are also characterized by a clear contrasting black lateral line and enlarged eyes (Ref. 6125). At the end of their growth period, they become sexually mature, migrate to the sea and cover great distances during their spawning migration (5,000-6,000 km); with extensive daily vertical migrations between 200 m at night and 600 m during day time, possibly for predator avoidance (Ref. 89140). Gametogenesis occurs entirely during spawning migration. Average life span is usually 15-20 years (Ref. 88171). Male eels can grow up to 50 cm TL (Ref. 39903). Occurs at temperatures ranging from 0-30°C (Ref. 172). Its food includes virtually the whole aquatic fauna (freshwater as well as marine) occurring in the eel's area, augmented with animals living out of water, e.g. worms (Ref. 172). Best temperature for making eels sexually mature is 20-25°C (Ref. 35388). Sensitive to weak magnetic fields (Ref. 89141, 89142). Their high fat content and benthic feeding habits in continental waters make them vulnerable to the bioaccumulation of pollutants, such as heavy metals and organic contaminants, that may result in organ damage and impaired migration capability (Ref. 82710) and lowered genetic variability (Ref. 82711). Review of information supports the view that the European eel population as a whole has declined in most areas, the stock is outside safe biological limits and current fisheries not sustainable (Ref. 82712). Obvious decreasing of the stocks for all the continental native distribution area (Ref. 40476). Utilized fresh, dried or salted, smoked and frozen; can be fried, boiled and baked (Ref. 9988).","Anguilla anguilla"
297,"Anguilla australis","Richardson, 1841",130,"TL",106.5,"TL",40637,45,"TL",65,"TL",9258,7480,NA,40637,"Occurs in streams, lakes and swamps.  More likely inhabits slow flowing streams or still waters (Ref. 26509).  Feeds on fishes, crustaceans, mollusks, worms, aquatic plants, and terrestrial and aquatic insects.  This species does not breed outside its Pacific spawning ground.  Migrates to the sea to breed (Ref. 9258).  Maximum length for female eel taken from Ref. 6390.  Migrating females in Lake Ellesmere (Canterbury, New Zealand) were reported to be in the range of 48.3 to 102.4 cm, larger than for males 33.8 to 55.4 cm (Ref. 44724).  Despite its slimy appearance, its flesh is of excellent quality, considered a delicacy in many countries; meat suitable for smoking (Ref. 33839).","Anguilla australis"
11878,"Anguilla dieffenbachii","Gray, 1842",185,"TL",156,"TL",44724,60,"TL",100,"TL",9258,25000,NA,11115,"Commonly found in lakes and rivers (Ref. 9258).  Inhabits stony rivers (Ref. 9072).  Migrates to the sea to breed.  Oviparous (Ref. 205).  Marketed fresh, smoked and frozen; eaten fried and broiled (Ref. 9988).  Reports of reaching up to 2 meters and 50 kilograms are rare and more common historically; in recent times, only a few exceed 120 cm TL (Ref. 82796).","Anguilla dieffenbachii"
3577,"Aplodinotus grunniens","Rafinesque, 1819",95,"TL",NA,NA,40637,45,"TL",NA,NA,9988,24720,NA,4699,"Occur in bottoms of medium to large rivers and lakes (Ref. 557, 10294).  Adults feed on aquatic insect immatures such as mayflies (<i>Hexagenia</i>), amphipods, fish (especially shad and young drum), crayfish and mollusks.  Larval stages of drum consume larvae of other fishes, while young fishes utilize zooplankton (Ref. 10294).  Known to produce sound.  L-shaped otoliths are collected as 'lucky stones' (Ref. 557).  Utilized fresh and can be pan-fried and broiled (Ref. 9988).","Aplodinotus grunniens"
6377,"Barbatula barbatula","(Linnaeus, 1758)",21,"TL",NA,NA,1441,12,"SL",NA,NA,5504,200,NA,5504,"Usually found in flowing stretches of streams and medium-sized rivers with gravel to stone bottom, but also in a variety of other habitats, including sandy canals and lake shores.  Larvae are benthic.  Larvae and small juveniles prefer sand bottom and slow current, shifting to gravel bottom and fast current when growing.  Adults prey on relatively large benthic invertebrates such as gammarids, chironomids, insect larvae.  They breed on gravel, sand or among aquatic vegetation.  Tolerate moderate organic pollution and stream canalization and very sensitive to pollution by heavy metals (Ref. 59043).  Sensitive to pollution and low oxygen levels, therefore, its presence in a river can be taken as an indication of good water quality (Ref. 6111).","Barbatula barbatula"
65106,"Barbatula quignardi","(Băcescu-Meşter, 1967)",7,"SL",NA,NA,59043,NA,NA,NA,NA,NA,NA,NA,NA,"Inhabits streams with gravel to stone bottom (Ref. 59043).","Barbatula quignardi"
4472,"Barbus barbus","(Linnaeus, 1758)",120,"TL",NA,NA,31730,30,"TL",NA,NA,556,12000,NA,31730,"Inhabits from premontane to lowland reaches of clear, warm, medium sized to large rivers with fast current and gravel bottom.  Occasionally found in lakes.  Frequently overwinters in large group, inactive or active in slow-flowing river habitats.  Adults often form shoal, hiding under overhanging trees or bridges during the day.  Adults are encountered most active during dusk and dawn while larvae and juveniles are active during both day and night.  Larvae and juvenile stay on the bottom in very shallow shoreline habitats and leave the shores for faster-flowing waters as they grow (Ref. 59043). Lives in the deeper, faster-flowing upper reaches of rivers with stony or gravel bottom (barbel zones).  Feeds chiefly on benthic invertebrates, such as small crustaceans, insect larvae, mollusks, mayfly and midge larvae (Ref. 6258) and also on small fish and sometimes algae (Ref. 59043).  Spawns usually in very shallow, fast-flowing riffles (Ref. 59043).  Spawning occurs from May to July after the fish have migrated upriver (Ref. 556).  Eggs are poisonous (Refs. 4537, 6258).  Locally threatened due to water pollution and river regulation, especially in Baltic drainages, Elbe, South Bug and Dniepr, and heavily impacted by pollution in central Europe but recovering.  Population has declined sharply due to construction of large reservoirs and pollution during 20th century and has stabilized at a moderate level since then (Ref. 59043).","Barbus barbus"
5424,"Barbus meridionalis","Risso, 1827",24.3127983212471,"TL",25.2999992370605,"FL",27718,20,"TL",NA,NA,556,200,NA,30578,"Inhabits upper and middle stretches of streams with fast, clear and well oxygenated water, as well as lowland areas where <i>Barbus barbus</i> is absent (Ref. 59043).  A short-lived species which is found in clear waters over sand and gravel.  Feeds on small invertebrates and (rarely) plants.  A combative fish which can be captured with bows or floating ling lines (Ref. 30578).  Threatened due to water abstraction and pollution (Ref. 26100) and habitat modification (Ref. 59043).  In southern France, locally forms partly fertile hybrids with <i>B. barbus</i>.  Attains a maximum size of about 27 cm SL (Ref. 59043).","Barbus meridionalis"
4471,"Blicca bjoerkna","(Linnaeus, 1758)",45.5,"TL",NA,NA,88166,20,"TL",NA,NA,556,1000,NA,30578,"Gregarious and frequents stagnant waters of lakes and reservoirs, rivers and canals with calm waters.  Occurs in a wide variety of shallow, warm lowland lakes and slow-flowing lower reaches of large rivers and canals.  Frequently very abundant on bottom of large sandy rivers.  Larvae live in still water bodies.  Mainly nocturnal.  Feeds on benthic invertebrates.  Spawns along shores on submerged vegetations, roots or even on shallow gravel bottom (Ref. 59043).  Reproduction takes place in May to July.  Exhibits polyandry (Ref. 6114).  Regularly hybridizes with <i>Vimba vimba</i> (Ref. 59043).  Of little interest to game fishers and consumers (Ref. 30578).  Unpopular with commercial fishers due to its small size and competition with more desired species.","Blicca bjoerkna"
2743,"Campostoma anomalum","(Rafinesque, 1820)",22,"TL",NA,NA,5723,18.7000007629395,"TL",NA,NA,12193,NA,NA,NA,"Inhabits rocky riffles, runs, and pools of headwaters, creeks, and small to large rivers (Ref. 5723, 86798).  Subadults and adults feed on detritus, filamentous algae, diatoms and occasionally on small aquatic insects; young on rotifers and microcrustacea (Ref. 10294). Reported maximum length is 17 cm TL (Ref. 86798).","Campostoma anomala"
271,"Carassius auratus","(Linnaeus, 1758)",48,"TL",NA,NA,27549,10,"TL",NA,NA,9987,NA,NA,NA,"Inhabit rivers, lakes, ponds and ditches (Ref. 5258, 10294) with stagnant or slow-flowing water (Ref. 30578).  Occur in eutrophic waters, well vegetated ponds and canals (Ref. 59043).  Live better in cold water.  Feed mainly on plankton, benthic invertebrates, plant material and detritus (Ref. 59043).  Goldfish lay eggs on submerged vegetation.  Females spawn multiple times during the spawning period (Ref. 88808).  Oviparous, with pelagic larvae.  They last long in captivity (Ref. 7248).  Maximum recorded salinity is 17 ppt (Ref. 39171), but unable to withstand prolonged exposure above 15 ppt (Ref. 39172, 39174).  Used as an experimental species (Ref. 4537).  Valued as ornamental fish for ponds and aquaria; edible but rarely eaten (Ref. 9987).  Aquarium keeping:  in groups of 5 or more individuals; minimum aquarium size 100 cm (Ref. 51539).  Reported individual hooked by an angler in a lake in Poole, Dorset measured 40 cm (16 in), weighing 2.3 kg (Practical Fishkeeping, 2010).","Carassius auratus"
270,"Carassius carassius","(Linnaeus, 1758)",64,"TL",NA,NA,6114,15,"TL",NA,NA,556,3000,NA,556,"Adults occur in shallow ponds, lakes rich in vegetation and slow moving rivers.  They burrow in mud in the dry season or during winter (Ref. 2163).  Usually restricted to densely vegetated backwaters and oxbows of lowland rivers.  Can survive at high temperatures and at very low oxygen concentrations during summer and under ice cover (Ref. 59043).  Tolerates cold, organic pollutants, and low oxygen levels in the water (Ref. 30578).  Feeds all day but mainly at night on plankton, benthic invertebrates, plant materials and detritus.  Usually does not occur in waters with rich ichthyofauna and abundant predatory species, but very abundant in  the absence of other fish species.  Spawns in dense submerged vegetation (Ref. 59043).  Marketed fresh and frozen; eaten fried, broiled and baked (Ref. 9988).  Live up to about 10 years.  There is a gradual but continuing extirpation in many water bodies, especially in Danube drainage and central Europe, possibly to due competition with introduced <i>Carassius gibelio</i> in non-optimal habitats (Ref. 59043).","Carassius carassius"
2957,"Carpiodes carpio","(Rafinesque, 1820)",64,"TL",NA,NA,86798,34.25,"TL",NA,NA,12193,4590,NA,40637,"Occurs in lakes and pools and backwaters of creeks and small to large rivers (Ref. 86798).  Adult feeds on organic detritus (Ref. 10294).","Carpiodes carpio"
4775,"Carpiodes cyprinus","(Lesueur, 1817)",66,"TL",NA,NA,5723,52.0499992370605,"TL",NA,NA,12193,2940,NA,40637,"Inhabits pools, backwaters and main channels of creeks and small to large rivers (Ref. 10294).  Also occurs in lakes.  Oviparous (Ref. 205).  Feeds on bottom ooze and benthic invertebrates (Ref. 10294), including insects, mollusks and crustaceans, along with plant detritus and sand (Ref. 93252).","Carpiodes cyprinus"
2965,"Catostomus commersonii","(Lacepède, 1803)",65,"TL",NA,NA,10294,40.6500015258789,"TL",NA,NA,12193,2940,NA,4699,"Inhabits a wide range of habitats, from rocky pools and riffles of headwaters to large lakes.  Usually occurs in small, clear, cool creeks and small to medium rivers.  May be found at a depth greater than 45 m (Ref. 1998).  Moves to shallower water near sunrise and sunset to feed.  Fry (1.2 cm in length) feed on plankton and other small invertebrates; bottom feeding commences upon reaching a length of 1.6-1.8 cm.  Preyed upon by birds, fishes, lamprey, and mammals (Ref. 1998).  Flesh is white, flaky, and sweet (Ref. 1998).","Catostomus commersonii"
2965,"Catostomus commersonii","(Lacepède, 1803)",65,"TL",NA,NA,10294,40.6500015258789,"TL",NA,NA,12193,2940,NA,4699,"Inhabits a wide range of habitats, from rocky pools and riffles of headwaters to large lakes.  Usually occurs in small, clear, cool creeks and small to medium rivers.  May be found at a depth greater than 45 m (Ref. 1998).  Moves to shallower water near sunrise and sunset to feed.  Fry (1.2 cm in length) feed on plankton and other small invertebrates; bottom feeding commences upon reaching a length of 1.6-1.8 cm.  Preyed upon by birds, fishes, lamprey, and mammals (Ref. 1998).  Flesh is white, flaky, and sweet (Ref. 1998).","Catasomus commersoni"
2965,"Catostomus commersonii","(Lacepède, 1803)",65,"TL",NA,NA,10294,40.6500015258789,"TL",NA,NA,12193,2940,NA,4699,"Inhabits a wide range of habitats, from rocky pools and riffles of headwaters to large lakes.  Usually occurs in small, clear, cool creeks and small to medium rivers.  May be found at a depth greater than 45 m (Ref. 1998).  Moves to shallower water near sunrise and sunset to feed.  Fry (1.2 cm in length) feed on plankton and other small invertebrates; bottom feeding commences upon reaching a length of 1.6-1.8 cm.  Preyed upon by birds, fishes, lamprey, and mammals (Ref. 1998).  Flesh is white, flaky, and sweet (Ref. 1998).","Catostomus commersoni"
2499,"Chelon labrosus","(Risso, 1827)",65.5813552737236,"TL",NA,NA,35388,32,"SL",NA,NA,7399,4500,NA,35388,"Adults are found inshore in schools, frequently entering brackish lagoons and freshwater (Ref. 30578).  They migrate occasionally tending to move northward in summer-time as temperatures rise.  Females are larger than males (Ref. 59043).  Adults feed mainly on benthic diatoms, epiphytic algae, small invertebrates and detritus (Ref. 2804), juveniles only feed on zooplankton (Ref. 59043).  Oviparous (Ref. 205).  Reproduction occurs in the sea during winter (Ref. 30578).  Eggs and larvae pelagic.  Utilized as a food fish (Ref. 4645).","Chelon labrosus"
4878,"Chondrostoma nasus","(Linnaeus, 1758)",50,"TL",NA,NA,556,25,"TL",NA,NA,556,1500,NA,556,"Gregarious. Adults occur in fairly shallow water with fast current, often beside the swirls created by piles of bridges or rocks (Ref. 30578).  They inhabit moderate to fast-flowing large to medium sized rivers with rock or gravel bottom. Larvae occur below surface and feeding larvae inhabit along shores.  Early juveniles live on the bottom in very shallow shoreline habitats. When growing, they move from the shore for faster-flowing waters.  Juveniles overwinter in backwaters or in cavities along shores.  During winter, adults form dense swarms in lower parts of rivers.  Larvae and early juveniles prey on small invertebrates while larger juveniles and adults feed on benthic diatoms and detritus.  Adults migrate upstream some tens of km to spawning sites which are often located in tributaries.  Spawning occurs in fast flowing water on shallow gravel beds (Ref. 556, 59043).  Its flesh is good but bony (Ref. 30578).  Locally threatened by damming, destruction of spawning sites and pollution.  In drainages where they are introduced, they outcompete and eliminate <i>Parachondrostoma toxostoma</i> in Rhône and <i>Protochondrostoma genei</i> in Soca (Ref. 59043).","Chondrostoma nasus"
2747,"Clinostomus funduloides","Girard, 1856",11.5,"TL",NA,NA,10294,6.65000009536743,"TL",NA,NA,12193,NA,NA,NA,"Inhabits rocky flowing pools of headwaters, creeks and small rivers.  Usually occurs in small clear streams (Ref. 86798).","Clinostomus sp"
6378,"Cobitis taenia","Linnaeus, 1758",13.5,"TL",9.5,"SL",1441,5,"TL",NA,NA,556,NA,NA,NA,"Adults occur in slow-flowing and still waters with fine sandy substrate (Ref. 9696).  They occur in the Baltic Sea at salinities of up to 5 ppt (Ref. 59043).  Filter sand for food particles (Ref. 36876).  Nocturnal, stays hidden under rocks or buried in the sand or mud during the day (Ref. 30578).  Oviparous, with distinct pairing during breeding (Ref. 205).  Spawn in spring; scatters eggs into mats of plant material (Ref. 36876).  Eggs are found attached to gravel and weed in shallow, flowing water (Ref. 41678).  Larvae hide under vegetation and in debris until beginning of exogenous feeding (Ref. 59043).","Cobitis taenia"
235,"Coregonus artedi","Lesueur, 1818",57,"TL",NA,NA,86798,29.25,"TL",NA,NA,12193,3350,NA,4699,"Inhabits open waters of lakes and large rivers, and also coastal waters of Hudson Bay (Ref. 9988, 86798).  Nerito-pelagic species that feeds on plankton and large crustaceans (Ref. 58426).  Utilized fresh, smoked, and frozen; can be steamed, fried, broiled, boiled, microwaved, and baked (Ref. 9988).","Coregonus artedi"
234,"Coregonus clupeaformis","(Mitchill, 1818)",100,"TL",NA,NA,9988,54.0999984741211,"TL",NA,NA,12193,19000,NA,28850,"Inhabits large lakes and large rivers and enters brackish water (Ref. 86798). Primarily a lake dweller (Ref. 27547).  Nerito-pelagic (Ref. 58426).  Appears to be rather sedentary, at least in the Great Lakes (Ref. 27547).  Movement in large lakes generally consists of 4 stages:  movement from deep to shallow water in the spring; movement back to deep water in the summer as the shoal water warms; migration to shallow-water spawning areas in the fall and early winter; and post-spawning movement back to deeper water (Ref. 27547).  Forms separate populations in large lakes (Ref. 27547).  Adults feed mainly on aquatic insect larvae, mollusks and amphipods (Ref. 1091, 3849); also other fishes and fish eggs, including their own (Ref. 1998).  Extensive hatchery programs for the propagation have been carried out on the Great Lakes and other areas for years (Ref. 3746, 3849).  Valued for its meat as well as for its roe, which is made into an excellent caviar; utilized fresh, smoked, and frozen; eaten steamed, fried, broiled, boiled, microwaved, and baked (Ref. 9988).","Coregonus clupeaformis"
4065,"Cottus bairdii","Girard, 1850",15,"TL",NA,NA,5723,8.39999961853027,"TL",NA,NA,12193,NA,NA,NA,"Adults occur in rubble and gravel riffles, less often in sand-gravel runs of headwaters, creeks and small rivers.  Also found in springs and their effluents and rocky shores of lakes (Ref. 1998, 10294).  Feed mainly on aquatic insect larvae, but also on crustaceans, annelids, fishes, fish eggs, and plant material (Ref. 1998, 10294).  Spawn in the spring (Ref. 1998).  A male guards the cluster of eggs laid by different females (Ref. 1998).  Neither anterolateral glandular groove nor venom gland is present (Ref. 57406).","Cottus bairdii"
2439,"Cottus gobio","Linnaeus, 1758",18,"TL",NA,NA,556,10,"TL",NA,NA,556,NA,NA,NA,"Occurs in cold, clear and fast-flowing water of small stream to medium-sized rivers as well as on gravel or rocky shores of cold lakes and in slightly brackish waters along eastern coast of Baltic coast (Ref. 59043).  Feeds on small bottom invertebrates, mainly insects, crustaceans.  Pink to yellow eggs are found in clumps attached to undersides of large stones (Ref. 41678). Contrary to statements in older literature, eggs and larvae of fishes are not a common food item (Ref. 45167).","Cottus gobio"
8419,"Cottus poecilopus","Heckel, 1837",12.5845265947621,"TL",NA,NA,4698,11.8000001907349,"TL",NA,NA,35840,NA,NA,NA,"Inhabits northern, and mountain and foothill streams, and oligotrophic lakes.  Found in fast-flowing waters of coastal streams, rivers, inland lakes, usually on stony bottoms (Ref. 4698).  Moves downstream to estuaries and tolerates brackish waters (Ref. 4698).  Feeds on algae (diatoms, desmids, blue-green algae), polychaetes, crustaceans, aquatic insect larvae and nymphs (<i>Ephemeroptera</i>, <i>Trichoptera</i>, <i>Plecoptera</i>, <i>Chironomidae</i>), fish eggs and larvae.","Cottus poecilopus"
79,"Ctenopharyngodon idella","(Valenciennes, 1844)",150,"TL",NA,NA,30578,10.6999998092651,"SL",NA,NA,35840,45000,NA,7248,"Adults occur in lakes, ponds, pools and backwaters of large rivers (Ref. 5723), preferring large, slow-flowing or standing water bodies with vegetation.  Tolerant of a wide range of temperatures from 0° to 38°C, and salinities to as much as 10 ppt and oxygen levels down to 0.5 ppm.  Feed on higher aquatic plants and submerged grasses; takes also detritus, insects and other invertebrates.  One of the world's most important aquaculture species and also used for weed control in rivers, fish ponds and reservoirs (Ref. 9987).  Spawn on riverbeds with very strong current (Ref. 30578).  Utilized also fresh and eaten steamed, pan-fried, broiled and baked (Ref. 9987).  Considered as a pest in most countries because of the damages made to submerged vegetation (Ref. 43281).","Ctenopharyngodon idella"
2859,"Cyprinella galactura","(Cope, 1868)",15,"TL",NA,NA,86798,6.90000009536743,"TL",NA,NA,12193,NA,NA,NA,"Inhabits rocky runs, less often in pools and riffles, of clear headwaters, creeks, and small rivers (Ref. 5723, 86798).  Feeds on terrestrial insects and drifting aquatic larvae (Ref. 10294).","Cyprinella galactura"
2876,"Cyprinella lutrensis","(Baird & Girard, 1853)",9.30000019073486,"TL",NA,NA,121533,4.94999980926514,"TL",NA,NA,12193,NA,NA,NA,"Inhabits silty, sandy, and rocky pools and runs, sometimes riffles, of creeks and small to medium rivers.  Can tolerate siltation and high turbidity (Ref. 5723, 86798).  Feeds on terrestrial and aquatic insects, and algae (Ref. 10294).","Cyprinella lutrensis"
